model,prosocial,cond_id,condition,m,q,R,u,e,o,m_lo,m_hi,q_lo,q_hi,R_lo,R_hi,u_lo,u_hi,e_lo,e_hi,m_hw,q_hw,R_hw,u_hw,e_hw,o_hw,full_horizon,below_horizon,n_parent_runs,total_runs
gpt-5.4,5,2,code-law,12.0,1.0,325.5,0.587,0.9832000000000001,0.1,12.0,12.0,1.0,1.0,229.78750000000002,400.7125,0.41395000000000004,0.70595,0.96985,0.9916499999999999,0.0,0.0,85.46249999999998,0.14599999999999996,0.010899999999999993,0.049999999999999996,20,0,4,20
gpt-5.4,5,1,nl,12.0,1.0,420.0,0.73585,0.9462,0.0333,12.0,12.0,1.0,1.0,287.0,542.0,0.49329999999999996,0.9575,0.8885,0.9911,0.0,0.0,127.5,0.23210000000000003,0.05130000000000001,0.05,10,0,2,10
gpt-5.4-mini,0,0,no-contract,5.12,0.42664,84.24,0.6743,0.96276,0.6533599999999999,3.2,8.559999999999999,0.26664,0.72,77.6,93.52000000000001,0.4229200000000001,0.8,0.93004,0.9934799999999999,2.6799999999999997,0.22668,7.959999999999999,0.18853999999999999,0.03172000000000001,0.22000000000000003,9,16,5,25
gpt-5.4-mini,0,1,nl,12.0,1.0,0.0,0.0,1.0,0.0,12.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,5
gpt-5.4-mini,0,2,code-law,9.066666666666666,0.7555333333333333,112.93333333333334,0.4139,0.9209999999999999,0.3,6.133333333333333,12.0,0.5111333333333333,1.0,76.8,153.73333333333332,0.2279,0.5998666666666667,0.8901333333333333,0.9490666666666666,2.9333333333333336,0.24443333333333336,38.46666666666666,0.1859833333333333,0.02946666666666664,0.24446666666666664,11,4,3,15
gpt-5.4-mini,0,1,nl,1.2,0.1,102.0,1.0,0.8736,1.0,1.0,1.6,0.0833,0.1333,100.0,106.0,1.0,1.0,0.7936,0.9392,0.30000000000000004,0.025,3.0,0.0,0.07280000000000003,0.0,0,10,2,10
gpt-5.4-mini,1,0,no-contract,6.08,0.50668,86.24,0.6086400000000001,0.8934799999999999,0.58,4.4,7.840000000000001,0.36663999999999997,0.65332,78.64,96.8,0.48154,0.74138,0.8498000000000001,0.93732,1.72,0.14334000000000002,9.080000000000002,0.12992,0.04376,0.14667999999999998,11,14,5,25
gpt-5.4-mini,1,1,nl,12.0,1.0,0.0,0.0,1.0,0.0,12.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,5
gpt-5.4-mini,1,2,code-law,9.200000000000001,0.7666666666666666,103.60000000000001,0.39189999999999997,0.9283333333333333,0.3,6.266666666666667,12.0,0.5222,1.0,82.79666666666667,121.73333333333333,0.2058333333333333,0.578,0.9104000000000001,0.9463333333333334,2.8666666666666667,0.2389,19.468333333333334,0.1860833333333333,0.017966666666666648,0.24446666666666664,11,4,3,15
gpt-5.4-mini,1,1,nl,4.8,0.4,185.8,0.9104,0.897,0.85,1.6,8.0,0.1333,0.7337,108.0,274.6,0.7385999999999999,1.0,0.8611,0.9329,3.2,0.3002,83.30000000000001,0.1307,0.03589999999999999,0.22499999999999998,2,8,2,10
gpt-5.4-mini,2,0,no-contract,8.72,0.72664,114.4,0.48516000000000004,0.937,0.36,5.4399999999999995,11.2,0.45332,0.9333199999999999,85.67999999999999,157.92000000000002,0.26749999999999996,0.70916,0.9116799999999999,0.9615600000000001,2.88,0.24000000000000005,36.120000000000005,0.22083,0.024939999999999983,0.25666,17,8,5,25
